,traded,season,lost,ownedBy.id,ownedBy.name,originalOwner.id,originalOwner.name,slot.round
0,True,2023,True,1346341,Tier 3 Avengers,1335769.0,The Riddler,1
1,True,2023,True,1340595,SOTH,1335769.0,The Riddler,2
2,True,2023,True,1344282,Jake,1335769.0,The Riddler,3
3,True,2023,True,1335806,Sir Samuel J. Muffchins Giving Historical Blumpkins,1335769.0,The Riddler,4
4,True,2023,True,1335806,Sir Samuel J. Muffchins Giving Historical Blumpkins,1335769.0,The Riddler,5
5,True,2023,,1335769,The Riddler,1335806.0,Sir Samuel J. Muffchins Giving Historical Blumpkins,6
6,,2023,,1335769,The Riddler,,,6
7,True,2023,,1335769,The Riddler,1335806.0,Sir Samuel J. Muffchins Giving Historical Blumpkins,7
8,True,2023,True,1346341,Tier 3 Avengers,1335769.0,The Riddler,7
9,,2023,,1335769,The Riddler,,,8
10,,2023,,1335769,The Riddler,,,9
11,,2023,,1335769,The Riddler,,,10
26,True,2024,,1335769,The Riddler,1335806.0,Sir Samuel J. Muffchins Giving Historical Blumpkins,1
27,,2024,,1335769,The Riddler,,,1
28,True,2024,,1335769,The Riddler,1340595.0,SOTH,1
29,True,2024,,1335769,The Riddler,1344276.0,"Papa Kooch’s Meat Sweats and Chode Emporium, now with extra Chode!",1
30,True,2024,True,1335806,Sir Samuel J. Muffchins Giving Historical Blumpkins,1335769.0,The Riddler,2
31,True,2024,,1335769,The Riddler,1340595.0,SOTH,2
32,True,2024,True,1335806,Sir Samuel J. Muffchins Giving Historical Blumpkins,1335769.0,The Riddler,3
33,,2024,,1335769,The Riddler,,,4
34,True,2024,True,1335806,Sir Samuel J. Muffchins Giving Historical Blumpkins,1335769.0,The Riddler,5
35,,2024,,1335769,The Riddler,,,6
36,,2024,,1335769,The Riddler,,,7
37,,2024,,1335769,The Riddler,,,8
38,,2024,,1335769,The Riddler,,,9
39,,2024,,1335769,The Riddler,,,10
51,,2025,,1335769,The Riddler,,,1
52,True,2025,,1335769,The Riddler,1340595.0,SOTH,1
53,True,2025,True,1335806,Sir Samuel J. Muffchins Giving Historical Blumpkins,1335769.0,The Riddler,2
54,True,2025,,1335769,The Riddler,1335806.0,Sir Samuel J. Muffchins Giving Historical Blumpkins,3
55,,2025,,1335769,The Riddler,,,3
56,,2025,,1335769,The Riddler,,,4
57,,2025,,1335769,The Riddler,,,5
58,,2025,,1335769,The Riddler,,,6
59,,2025,,1335769,The Riddler,,,7
60,,2025,,1335769,The Riddler,,,8
61,,2025,,1335769,The Riddler,,,9
62,,2025,,1335769,The Riddler,,,10
0,True,2023,True,1335806,Sir Samuel J. Muffchins Giving Historical Blumpkins,1340595.0,SOTH,1
1,True,2023,,1340595,SOTH,1335769.0,The Riddler,2
2,True,2023,,1340595,SOTH,1335962.0,Taylor Swift,2
3,,2023,,1340595,SOTH,,,2
4,True,2023,,1340595,SOTH,1344276.0,"Papa Kooch’s Meat Sweats and Chode Emporium, now with extra Chode!",2
5,True,2023,,1340595,SOTH,1346341.0,Tier 3 Avengers,2
6,True,2023,True,1335806,Sir Samuel J. Muffchins Giving Historical Blumpkins,1340595.0,SOTH,3
7,,2023,,1340595,SOTH,,,4
8,,2023,,1340595,SOTH,,,5
9,,2023,,1340595,SOTH,,,6
10,,2023,,1340595,SOTH,,,7
11,,2023,,1340595,SOTH,,,8
12,,2023,,1340595,SOTH,,,9
13,,2023,,1340595,SOTH,,,10
25,True,2024,True,1335769,The Riddler,1340595.0,SOTH,1
26,True,2024,True,1335769,The Riddler,1340595.0,SOTH,2
27,,2024,,1340595,SOTH,,,3
28,,2024,,1340595,SOTH,,,4
29,True,2024,,1340595,SOTH,1344282.0,Jake,5
30,,2024,,1340595,SOTH,,,5
31,,2024,,1340595,SOTH,,,6
32,,2024,,1340595,SOTH,,,7
33,,2024,,1340595,SOTH,,,8
34,,2024,,1340595,SOTH,,,9
35,,2024,,1340595,SOTH,,,10
47,True,2025,True,1335769,The Riddler,1340595.0,SOTH,1
48,True,2025,,1340595,SOTH,1335806.0,Sir Samuel J. Muffchins Giving Historical Blumpkins,2
49,,2025,,1340595,SOTH,,,2
50,,2025,,1340595,SOTH,,,3
51,,2025,,1340595,SOTH,,,4
52,,2025,,1340595,SOTH,,,5
53,,2025,,1340595,SOTH,,,6
54,,2025,,1340595,SOTH,,,7
55,,2025,,1340595,SOTH,,,8
56,,2025,,1340595,SOTH,,,9
57,,2025,,1340595,SOTH,,,10
0,True,2023,,1346341,Tier 3 Avengers,1335769.0,The Riddler,1
1,,2023,,1346341,Tier 3 Avengers,,,1
2,True,2023,True,1340595,SOTH,1346341.0,Tier 3 Avengers,2
3,,2023,,1346341,Tier 3 Avengers,,,3
4,,2023,,1346341,Tier 3 Avengers,,,4
5,True,2023,,1346341,Tier 3 Avengers,1335806.0,Sir Samuel J. Muffchins Giving Historical Blumpkins,5
6,,2023,,1346341,Tier 3 Avengers,,,5
7,,2023,,1346341,Tier 3 Avengers,,,6
8,True,2023,,1346341,Tier 3 Avengers,1335769.0,The Riddler,7
9,,2023,,1346341,Tier 3 Avengers,,,7
10,,2023,,1346341,Tier 3 Avengers,,,8
11,,2023,,1346341,Tier 3 Avengers,,,9
12,,2023,True,1346341,Tier 3 Avengers,,,10
24,,2024,,1346341,Tier 3 Avengers,,,1
25,,2024,,1346341,Tier 3 Avengers,,,2
26,True,2024,True,1348551,Dobbins and Dobbers II: The Sequel,1346341.0,Tier 3 Avengers,3
27,,2024,,1346341,Tier 3 Avengers,,,4
28,,2024,,1346341,Tier 3 Avengers,,,5
29,True,2024,,1346341,Tier 3 Avengers,1348551.0,Dobbins and Dobbers II: The Sequel,6
30,,2024,,1346341,Tier 3 Avengers,,,6
31,True,2024,,1346341,Tier 3 Avengers,1348551.0,Dobbins and Dobbers II: The Sequel,7
32,,2024,,1346341,Tier 3 Avengers,,,7
33,,2024,,1346341,Tier 3 Avengers,,,8
34,,2024,,1346341,Tier 3 Avengers,,,9
35,,2024,,1346341,Tier 3 Avengers,,,10
47,,2025,,1346341,Tier 3 Avengers,,,1
48,,2025,,1346341,Tier 3 Avengers,,,2
49,,2025,,1346341,Tier 3 Avengers,,,3
50,,2025,,1346341,Tier 3 Avengers,,,4
51,,2025,,1346341,Tier 3 Avengers,,,5
52,,2025,,1346341,Tier 3 Avengers,,,6
53,,2025,,1346341,Tier 3 Avengers,,,7
54,,2025,,1346341,Tier 3 Avengers,,,8
55,,2025,,1346341,Tier 3 Avengers,,,9
56,,2025,,1346341,Tier 3 Avengers,,,10
0,True,2023,True,1348551,Dobbins and Dobbers II: The Sequel,1335806.0,Sir Samuel J. Muffchins Giving Historical Blumpkins,1
1,True,2023,,1335806,Sir Samuel J. Muffchins Giving Historical Blumpkins,1348551.0,Dobbins and Dobbers II: The Sequel,1
2,True,2023,,1335806,Sir Samuel J. Muffchins Giving Historical Blumpkins,1335962.0,Taylor Swift,1
3,True,2023,,1335806,Sir Samuel J. Muffchins Giving Historical Blumpkins,1340595.0,SOTH,1
4,,2023,,1335806,Sir Samuel J. Muffchins Giving Historical Blumpkins,,,2
5,True,2023,True,1348551,Dobbins and Dobbers II: The Sequel,1335806.0,Sir Samuel J. Muffchins Giving Historical Blumpkins,3
6,True,2023,,1335806,Sir Samuel J. Muffchins Giving Historical Blumpkins,1340595.0,SOTH,3
7,True,2023,True,1348551,Dobbins and Dobbers II: The Sequel,1335806.0,Sir Samuel J. Muffchins Giving Historical Blumpkins,4
8,True,2023,,1335806,Sir Samuel J. Muffchins Giving Historical Blumpkins,1335769.0,The Riddler,4
9,True,2023,,1335806,Sir Samuel J. Muffchins Giving Historical Blumpkins,1335962.0,Taylor Swift,4
10,True,2023,True,1346341,Tier 3 Avengers,1335806.0,Sir Samuel J. Muffchins Giving Historical Blumpkins,5
11,True,2023,,1335806,Sir Samuel J. Muffchins Giving Historical Blumpkins,1335769.0,The Riddler,5
12,True,2023,True,1335769,The Riddler,1335806.0,Sir Samuel J. Muffchins Giving Historical Blumpkins,6
13,True,2023,True,1335769,The Riddler,1335806.0,Sir Samuel J. Muffchins Giving Historical Blumpkins,7
14,,2023,,1335806,Sir Samuel J. Muffchins Giving Historical Blumpkins,,,8
